source_file,line,tag,attr,link,link_type,status,http_code,note
components\consolas_main.html,3,a,href,/,internal,OK,,Resuelto a index.html
components\consolas_main.html,3,a,href,/consolas/,internal,BROKEN,,Destino inexistente
components\consolas_main.html,8,img,src,,skipped,SKIPPED,,Enlace vacío
components\footer.html,4,a,href,/index.html,internal,OK,,
components\footer.html,9,a,href,/legal/aviso-legal.html,internal,OK,,
components\footer.html,10,a,href,/legal/politica-privacidad.html,internal,OK,,
components\footer.html,11,a,href,/legal/politica-cookies.html,internal,OK,,
components\header.html,3,a,href,/index.html,internal,OK,,
components\header.html,11,a,href,/consolas/nintendo/nintendo-switch-2+mario-kart-bundle/index.html,internal,OK,,
components\header.html,12,a,href,/consolas/nintendo/nintendo-switch-lite-yellow/index.html,internal,OK,,
components\header.html,13,a,href,/consolas/nintendo/nintendo-switch-oled-blanco/index.html,internal,OK,,
components\header.html,19,a,href,/consolas/playstation/playstation-5-slim-blanco-estandar-1tb/index.html,internal,OK,,
components\header.html,20,a,href,/consolas/playstation/playstation-5-pro-digital-2tb/index.html,internal,OK,,
components\header.html,26,a,href,/consolas/xbox/xbox-series-s/index.html,internal,OK,,
components\header.html,27,a,href,/consolas/xbox/xbox-series-x-negro-1tb/index.html,internal,OK,,
components\header.html,28,a,href,/consolas/xbox/xbox-series-x-blanco-1tb/index.html,internal,OK,,
components\header.html,43,a,href,/consolas/nintendo/nintendo-switch-2+mario-kart-bundle/index.html,internal,OK,,
components\header.html,44,a,href,/consolas/nintendo/nintendo-switch-lite-yellow/index.html,internal,OK,,
components\header.html,45,a,href,/consolas/nintendo/nintendo-switch-oled-blanco/index.html,internal,OK,,
components\header.html,51,a,href,/consolas/playstation/playstation-5-slim-blanco-estandar-1tb/index.html,internal,OK,,
components\header.html,52,a,href,/consolas/playstation/playstation-5-pro-digital-2tb/index.html,internal,OK,,
components\header.html,58,a,href,/consolas/xbox/xbox-series-s/index.html,internal,OK,,
components\header.html,59,a,href,/consolas/xbox/xbox-series-x-negro-1tb/index.html,internal,OK,,
components\header.html,60,a,href,/consolas/xbox/xbox-series-x-blanco-1tb/index.html,internal,OK,,
consolas\nintendo\nintendo-switch-2+mario-kart-bundle\index.html,27,link,href,/img/resources/kamzilu/favicon.png,internal,OK,,
